"file","year","nc","nr","bands_src","threshold","frac_total","frac_interior"
"bc7434_122_thumb.jpg","1972",1250,1250,1,24,0.030829,0
"bc7434_122_thumb.jpg","1972",1250,1250,1,32,0.034205,0
"bc7434_122_thumb.jpg","1972",1250,1250,1,48,0.03514,0
"bc7434_122_thumb.jpg","1972",1250,1250,1,64,0.035887,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,0,0.002206,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,4,0.002415,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,8,0.002498,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,12,0.003249,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,16,0.01609,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,20,0.024349,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,24,0.030918,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,32,0.034054,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,48,0.035033,0
"bc7434_123_thumb.jpg","1972",1250,1250,1,64,0.035676,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,0,0.002375,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,4,0.002433,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,8,0.002593,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,12,0.0034,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,16,0.016911,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,20,0.024158,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,24,0.030792,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,32,0.034305,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,48,0.035245,0
"bc7434_124_thumb.jpg","1972",1250,1250,1,64,0.035986,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,0,0.002148,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,4,0.002364,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,8,0.002454,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,12,0.003192,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,16,0.015371,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,20,0.024996,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,24,0.030791,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,32,0.034298,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,48,0.035059,0
"bc7434_241_thumb.jpg","1972",1250,1250,1,64,0.03585,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,0,0.002193,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,4,0.002413,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,8,0.002515,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,12,0.003066,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,16,0.014743,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,20,0.024664,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,24,0.030934,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,32,0.034166,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,48,0.03493,0
"bc7434_242_thumb.jpg","1972",1250,1250,1,64,0.035548,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,0,0,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,4,4e-06,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,8,7.7e-05,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,12,0.000676,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,16,0.014868,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,20,0.025301,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,24,0.031471,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,32,0.034926,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,48,0.035772,0
"bc7434_243_thumb.jpg","1972",1250,1250,1,64,0.036609,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,0,0,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,4,0,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,8,1.2e-05,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,12,0.000263,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,16,0.012038,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,20,0.024396,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,24,0.031727,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,32,0.035447,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,48,0.036388,0
"bc7434_276_thumb.jpg","1972",1250,1250,1,64,0.036991,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,0,0.002056,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,4,0.002362,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,8,0.002442,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,12,0.00298,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,16,0.012875,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,20,0.024699,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,24,0.031991,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,32,0.035599,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,48,0.036494,0
"bc7434_277_thumb.jpg","1972",1250,1250,1,64,0.037213,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,0,0,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,4,0,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,8,4e-06,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,12,6.1e-05,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,16,0.000883,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,20,0.013248,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,24,0.026554,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,32,0.034293,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,48,0.035789,0
"bcc72_125_thumb.jpg","1972",1250,1250,3,64,0.03665,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,0,0.001148,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,4,0.002385,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,8,0.002392,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,12,0.002424,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,16,0.00337,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,20,0.011624,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,24,0.024816,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,32,0.034724,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,48,0.036463,0
"bcc72_126_thumb.jpg","1972",1250,1250,3,64,0.037045,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,0,0.000914,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,4,0.0024,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,8,0.0024,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,12,0.002536,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,16,0.003949,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,20,0.013363,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,24,0.024945,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,32,0.033601,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,48,0.035058,0
"bcc72_127_thumb.jpg","1972",1250,1250,3,64,0.035709,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,0,0,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,4,0,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,8,0,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,12,2e-05,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,16,0.000913,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,20,0.011773,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,24,0.023335,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,32,0.033773,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,48,0.035729,0
"bcc72_128_thumb.jpg","1972",1250,1250,3,64,0.036557,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,0,0.000718,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,4,0.002371,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,8,0.002387,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,12,0.002687,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,16,0.004369,0
"bcc72_129_thumb.jpg","1972",1250,1250,3,20,0.013514,0
