airp_id,arm,run_id,stratum,holdout,scale_n,focal_length,flying_height,relief_coarse,bearing,ref_ok,ref_agl,ref_area,ref_elev,ref_sd,ref_range,ref_grad,ref_n,nominal_area
768661,geographic,s3_5,scale_coarse/relief_q3,FALSE,32000,153,6096,178.24,176.54,TRUE,5310.62,62959286,785.389,196.682,940.28,3621.53,49278,53512151
781945,geographic,s12_8,scale_mid/relief_q4,FALSE,16000,305,6096,237.03,85.78,TRUE,4385.75,10805375,1710.503,301.013,1296.67,31035.1,8240,13378038
805476,geographic,s9_8,scale_mid/relief_q1,FALSE,20000,305,7010,35.85,88.78,TRUE,6230.37,21806246,779.626,34.809,168.38,1693.68,15058,20903184
822892,geographic,s3_8,scale_coarse/relief_q3,FALSE,60000,153,10363,220.34,269.45,TRUE,9733.02,211477781,629.907,341.617,1724.66,1929.8,161349,188128656
856861,geographic,s8_9,scale_fine/relief_q4,FALSE,15000,305,6096,270.29,82.98,TRUE,4646.36,12127684,1449.643,73.307,358.35,4699.63,9551,11758041
909480,geographic,s5_3,scale_fine/relief_q1,FALSE,15000,305,5334,29.62,87.79,TRUE,4380.78,10780910,953.279,85.541,316.55,6197.23,6845,11758041
999257,geographic,s6_8,scale_fine/relief_q2,FALSE,10000,305,4115,74.15,88.3,TRUE,2923.15,4800151,1191.85,20.591,124.44,1738.12,3256,5225796
1115580,geographic,s9_5,scale_mid/relief_q1,FALSE,20000,305,6553,33.63,94.17,TRUE,6503.92,23763113,49.087,46.189,225.08,2509.82,17207,20903184
1154997,geographic,s8_3,scale_fine/relief_q4,FALSE,10000,305,1981,261.02,247.32,FALSE,NA,5225796,391.111,170.986,688.55,1331.47,2923,5225796
1155474,geographic,s7_10,scale_fine/relief_q3,FALSE,10000,153,2134,192.43,60.91,TRUE,1269.98,3600481,868.566,164.781,628.35,11738.7,2849,5225796
1246635,geographic,s12_2,scale_mid/relief_q4,FALSE,15840,305,6096,275.26,85.55,TRUE,4609.02,11933574,1486.974,95.978,585.49,8128.59,9355,13111815
1251265,geographic,s2_9,scale_coarse/relief_q2,FALSE,32000,153,6096,126.43,177.13,TRUE,5130.87,58769555,965.125,151.975,718.04,3693.49,41028,53512151
1257727,geographic,s1_7,scale_coarse/relief_q1,FALSE,32000,153,5486,16.68,264.51,TRUE,4780.23,51011316,705.777,20.207,122.38,291.149,32210,53512151
1259460,geographic,s10_7,scale_mid/relief_q2,FALSE,15840,153,3962,90.99,326.56,TRUE,2662.94,15830392,1298.271,108.319,413.16,422.934,13001,13111815
1293467,geographic,s8_6,scale_fine/relief_q4,FALSE,15000,153,2743,318.98,38.27,TRUE,2348.93,12317110,393.84,261.11,979.51,19973.6,7992,11758041
1321928,geographic,s10_4,scale_mid/relief_q2,FALSE,16000,305,6096,73.42,NA,TRUE,4479.1,11270262,1616.875,37.266,163.64,970.27,8248,13378038
1327835,geographic,s11_3,scale_mid/relief_q3,FALSE,16000,305,6400,144.17,269.49,TRUE,4979.66,13930021,1420.384,214.342,726.97,12128.1,8704,13378038
1379732,geographic,s4_7,scale_coarse/relief_q4,FALSE,31680,153,5486,269.58,353.71,TRUE,4877.22,53102344,608.643,306.818,1053.7,6123.46,40694,52447259
1432239,geographic,s10_1,scale_mid/relief_q2,FALSE,16000,305,5791,102.53,85.89,TRUE,4847.88,13202517,943.124,49.411,227.62,1006.22,9239,13378038
1487031,geographic,s11_6,scale_mid/relief_q3,FALSE,16000,305,5852,163.08,91.56,TRUE,4327.7,10521243,1525.248,192.165,807.13,10315,7073,13378038
1490135,geographic,s4_1,scale_coarse/relief_q4,FALSE,32000,153,5791,345.5,101.91,TRUE,5448.77,66277468,339.208,369.798,1519.16,1150.3,43241,53512151
1500056,geographic,s3_2,scale_coarse/relief_q3,FALSE,31680,153,6096,206.69,85.86,TRUE,4942.94,54543197,1153.057,292.762,1413.84,7504.26,35105,52447259
1574186,geographic,s10_10,scale_mid/relief_q2,FALSE,20000,305,7468,99.78,268.54,TRUE,6318.98,22430916,1149.108,72.046,370.47,3745.14,14654,20903184
1580410,geographic,s12_5,scale_mid/relief_q4,FALSE,20000,305,8839,373.41,263.4,TRUE,7039.21,27835595,1799.257,433.593,1957.1,13942.2,21697,20903184
1583013,geographic,s11_9,scale_mid/relief_q3,FALSE,20000,305,7468,172.94,270.89,TRUE,6402.52,23027938,1065.424,88.663,394.64,5645.97,14789,20903184
1603183,geographic,s9_2,scale_mid/relief_q1,FALSE,20000,153,4267,58.76,271.05,TRUE,3308.84,24441139,958.196,64.674,302.36,3531.1,16267,20903184
38998,native,s6_2,scale_fine/relief_q2,FALSE,10000,305,3962,101.5,269.66,TRUE,3167.41,5635880,794.586,59.792,254.83,0.0868221,6023,5225796
95765,native,s6_10,scale_fine/relief_q2,TRUE,15000,305,5639,74.48,88.32,TRUE,4371.66,10736051,1267.429,70.16,337.91,0.0386259,11553,11758041
113084,native,s2_5,scale_coarse/relief_q2,TRUE,70000,153,11582,106.85,82.05,TRUE,10363.96,239784261,1218.073,181.098,1133.72,0.0247811,265928,256064004
130022,native,s2_6,scale_coarse/relief_q2,FALSE,40000,153,7333,138.71,268.91,TRUE,6451.24,92908586,881.659,152.512,629.88,0.0181687,99849,83612736
139315,native,s11_10,scale_mid/relief_q3,FALSE,20000,305,8555,202.96,85.82,TRUE,7391.19,30688881,1161.474,219.448,875.44,0.0102847,32962,20903184
148903,native,s8_10,scale_fine/relief_q4,FALSE,15000,305,6096,362.12,84.87,TRUE,4589.24,11831333,1506.754,188.842,718.1,0.186413,12938,11758041
160466,native,s1_10,scale_coarse/relief_q1,FALSE,40000,153,7622,57.5,264.09,TRUE,5786.95,74759958,1835.11,50.612,393.04,0.00637307,82430,83612736
160482,native,s3_7,scale_coarse/relief_q3,TRUE,40000,153,7628,161.5,264.55,TRUE,6464.67,93295787,1163.26,201.793,971.94,0.0574223,102865,83612736
161079,native,s1_9,scale_coarse/relief_q1,TRUE,40000,153,6604,27.14,275.39,TRUE,6556.63,95968926,47.345,133.215,771.34,0.0274706,103529,83612736
170883,native,s5_6,scale_fine/relief_q1,FALSE,10000,305,3353,26.6,275.61,TRUE,3083.84,5342389,269.163,12.094,46.91,0.0126266,5621,5225796
180980,native,s5_5,scale_fine/relief_q1,TRUE,15000,305,5791,17.69,267.02,TRUE,5137.89,14829365,653.109,8.212,50.41,0.00705289,15608,11758041
186630,native,s6_4,scale_fine/relief_q2,TRUE,15000,305,5791,70.26,NA,TRUE,5140.62,14845117,650.372,64.321,358.18,0.0364179,15668,11758041
215166,native,s1_1,scale_coarse/relief_q1,FALSE,40000,153,6661,8.38,84.69,TRUE,6219.17,86344442,441.831,13.542,109.18,0.00360495,90692,83612736
216938,native,s4_10,scale_coarse/relief_q4,FALSE,40000,153,8720,280.31,84.72,TRUE,6721.33,100850892,1998.665,394.152,1891.63,0.0688501,109514,83612736
218567,native,s1_2,scale_coarse/relief_q1,FALSE,40000,153,6746,17.84,88.38,TRUE,6280.75,88062901,465.247,16.201,87.36,0.00571427,92596,83612736
220401,native,s1_6,scale_coarse/relief_q1,TRUE,40000,153,6733,64.19,269.23,TRUE,6326.58,89352609,406.422,60.942,354.88,0.0180489,93897,83612736
225851,native,s8_5,scale_fine/relief_q4,TRUE,15000,305,6248,434.81,268.58,TRUE,5518.25,17106262,729.771,304.383,1289.31,0.196753,18784,11758041
243992,native,s5_1,scale_fine/relief_q1,FALSE,10000,305,4268,39.97,268.2,TRUE,3252.85,5944019,1015.133,47.089,207.6,0.036798,6356,5225796
248413,native,s2_3,scale_coarse/relief_q2,FALSE,40000,153,7927,70.96,87.35,TRUE,6551.69,95824547,1375.229,85.526,433.34,0.0181398,103894,83612736
260176,native,s5_4,scale_fine/relief_q1,FALSE,15000,305,5334,16.01,265.93,TRUE,4662.79,12213648,671.203,11.94,68.55,0.00489025,12912,11758041
271750,native,s8_8,scale_fine/relief_q4,TRUE,10000,305,4572,295.3,261.71,TRUE,3844.07,8301104,723.389,207.081,879.72,0.0668213,9153,5225796
316261,native,s7_5,scale_fine/relief_q3,FALSE,10000,305,4312,204.41,164.23,TRUE,4082.46,9362625,229.535,62.421,277.35,0.0512064,10037,5225796
328636,native,s1_3,scale_coarse/relief_q1,TRUE,60000,153,10238,39.61,89.9,TRUE,9393.63,196986444,844.372,64.102,312.45,0.00819667,209041,188128656
338907,native,s1_4,scale_coarse/relief_q1,FALSE,60000,153,10175,67.03,267.87,TRUE,9272.14,191924307,902.852,112.339,585.83,0.0227595,208288,188128656
341580,native,s7_2,scale_fine/relief_q3,FALSE,15000,305,6370,186.27,88.35,TRUE,5407.36,16425678,962.553,54.329,244.78,0.0269391,17461,11758041
343402,native,s8_4,scale_fine/relief_q4,FALSE,15000,305,6407,264.05,269.58,TRUE,4776.07,12814273,1630.899,171.232,902.92,0.0995212,13587,11758041
382156,native,s11_8,scale_mid/relief_q3,TRUE,30000,153,6248,153.26,NA,TRUE,4976.52,55286802,1271.473,123.274,468.6,0.0549362,60739,47032164
396992,native,s5_7,scale_fine/relief_q1,FALSE,15000,305,6401,57.27,265.28,TRUE,5216.77,15288172,1184.136,79.735,333.16,0.0253626,16389,11758041
405413,native,s3_9,scale_coarse/relief_q3,FALSE,35000,153,7315,159.8,83.43,TRUE,5605.4,70142766,1709.258,182.202,1045.94,0.0315032,77792,64016001
405431,native,s2_7,scale_coarse/relief_q2,FALSE,35000,153,7315,121.71,188.68,TRUE,5471.74,66837543,1843.191,206.855,1033.24,0.0425669,74127,64016001
456111,native,s2_8,scale_coarse/relief_q2,TRUE,35000,153,6424,116.64,265.58,TRUE,5036.87,56635855,1387.164,120.466,756.77,0.0279897,61758,64016001
460391,native,s8_2,scale_fine/relief_q4,TRUE,10000,305,4724,266.03,179.5,TRUE,3139.05,5535415,1584.835,120.369,699.6,0.129903,5871,5225796
498562,native,s7_1,scale_fine/relief_q3,FALSE,15000,305,6248,199.4,265.2,TRUE,5304.54,15806983,943.446,117.244,681.8,0.0912713,17342,11758041
501678,native,s7_4,scale_fine/relief_q3,FALSE,15000,305,6248,216.73,265.81,TRUE,5130.24,14785249,1117.563,114.669,471.15,0.09785,16170,11758041
561817,native,s7_7,scale_fine/relief_q3,FALSE,15000,305,5791,221.5,172.12,TRUE,4279.68,10289067,1511.448,68.087,318.98,0.0383521,11382,11758041
581653,native,s6_5,scale_fine/relief_q2,FALSE,15000,305,5913,109.75,88.48,TRUE,4646.46,12128210,1266.527,81.278,355.57,0.063242,13108,11758041
581747,native,s5_10,scale_fine/relief_q1,FALSE,15000,305,5913,33.56,265.61,TRUE,5085.04,14525837,828.017,50.507,194.1,0.042515,15691,11758041
583735,native,s5_9,scale_fine/relief_q1,FALSE,15000,305,5944,65.71,86.88,TRUE,5075.29,14470198,868.71,8.764,55.6,0.00474688,15689,11758041
632406,native,s4_4,scale_coarse/relief_q4,FALSE,40000,153,9144,352.02,86.09,TRUE,7852.41,137649793,1288.903,467.399,2295.14,0.0711502,151984,83612736
